name,year,song_name,performed_by
Fight Club,1999,Tzigany Waltz,
Fight Club,1999,Where Is My Mind,Pixies (as The Pixies)
Inception,2010,"Non, je ne Regrette rien",Édith Piaf
Inception,2010,Aboun Salehoun,Amira Saqati
The Lord of the Rings: The Two Towers,2002,Gollum's Song,Emiliana Torrini
The Lord of the Rings: The Two Towers,2002,Evenstar,"Isabel Bayrakdarian, soprano"
The Lord of the Rings: The Two Towers,2002,Breath of Life,Sheila Chandra
The Lord of the Rings: The Two Towers,2002,Isengard Unleashed,Elizabeth Fraser and Ben Del Maestro
The Lord of the Rings: The Two Towers,2002,Farewell to Lorien,Hilary Summers
The Matrix,1999,Dissolved Girl,Massive Attack
The Matrix,1999,Dragula (Hot Rod Herman Mix),Rob Zombie
The Matrix,1999,Leave You Far Behind (Lunatics Roller Coaster Mix),Lunatic Calm
The Matrix,1999,Mindfields,The Prodigy (as Prodigy)
The Matrix,1999,Prime Audio Soup,Meat Beat Manifesto
The Matrix,1999,Clubbed To Death (Kurayamino Mix),Rob Dougan (as Rob D)
The Matrix,1999,Minor Swing,Django Reinhardt
The Matrix,1999,Begin the Run,
The Matrix,1999,I'm Beginning to See the Light,Duke Ellington
The Matrix,1999,Spybreak (Short One),Propellerheads
The Matrix,1999,Wake Up,Rage Against the Machine
The Matrix,1999,Rock is Dead,Marilyn Manson
Goodfellas,1990,Rags to Riches,Tony Bennett
Goodfellas,1990,Can't We Be Sweethearts,The Cleftones
Goodfellas,1990,Hearts of Stone,Otis Williams and The Charms
Goodfellas,1990,Sincerely,The Moonglows
Goodfellas,1990,Firenze Sogna,Giuseppe Di Stefano
Goodfellas,1990,Speedo,The Cadillacs
Goodfellas,1990,Parlami d'Amore Mariù,Giuseppe Di Stefano
Goodfellas,1990,Stardust,Billy Ward's Dominoes (as Billy Ward and His Dominoes)
Goodfellas,1990,This World We Live In,Mina
Goodfellas,1990,Playboy,The Marvelettes
Goodfellas,1990,It's Not for Me to Say,Johnny Mathis
Goodfellas,1990,I Will Follow Him,Betty Curtis
Goodfellas,1990,Then He Kissed Me,The Crystals
Goodfellas,1990,Look in My Eyes,The Chantels
Goodfellas,1990,Roses are Red,Bobby Vinton
Goodfellas,1990,Life is But a Dream,The Harptones
Goodfellas,1990,Leader of the Pack,The Shangri-Las
Goodfellas,1990,"Toot, Toot, Tootsie (Goo' Bye!)",Al Jolson
Goodfellas,1990,Happy Birthday to You,
Goodfellas,1990,Ain't That a Kick in the Head,Dean Martin
Goodfellas,1990,He's Sure the Boy I Love,The Crystals
