name,year,song_name,performed_by
Avengers: Endgame,2019,Come and Get Your Love,Redbone
Avengers: Endgame,2019,"It's Been a Long, Long Time",Harry James and His Orchestra (as Harry James & His Orchestra)
Avengers: Endgame,2019,La Cucaracha,
Avengers: Endgame,2019,Captain Marvel Theme,
Avengers: Endgame,2019,Make Way For Tomorrow Today,
Princess Mononoke,1997,Mononoke-Hime/Princess Mononoke Theme Song,
Princess Mononoke,1997,Princess Mononoke Theme Song (Mononoke-Hime),
Princess Mononoke,1997,The Tatara Women Work Song (Tatara Fumu Onnatachi),
Once Upon a Time in America,1984,God Bless America,Kate Smith
Once Upon a Time in America,1984,'Summertime' from 'Porgy and Bess',
Once Upon a Time in America,1984,Night and Day,
Once Upon a Time in America,1984,Yesterday,
Once Upon a Time in America,1984,Amapola,
Once Upon a Time in America,1984,La Gazza Ladra,
Once Upon a Time in America,1984,St. James Infirmary Blues,
Once Upon a Time in America,1984,Cockeye's Song/Childhood Memories,
Once Upon a Time in America,1984,Poverty,
Good Will Hunting,1997,Big Strong Man,The Wolfetones (as Wolfe Tones)
Good Will Hunting,1997,If I Had the Last Dream in the World,Northeast Connection
Good Will Hunting,1997,Baker Street,
Good Will Hunting,1997,Room,
Good Will Hunting,1997,Boys Better,The Dandy Warhols (as Dandy Warhols)
Good Will Hunting,1997,We Still Need More Than Anyone Can Give,Supergrass
Good Will Hunting,1997,No Name #3,
Good Will Hunting,1997,Runaway,Del Shannon
Good Will Hunting,1997,Why Do I Lie?,Luscious Jackson
Good Will Hunting,1997,"Grand Sonata in B-Flat Major, Op. 30/D.617",Dana Muller and Gary Steigerwalt
Good Will Hunting,1997,Somebody's Baby,Andru Donalds
Good Will Hunting,1997,"Six Grandes Marches, Op. 40/D.819, No. 5",Dana Muller and Gary Steigerwalt
Good Will Hunting,1997,Say Yes,
Good Will Hunting,1997,As the Rain,
Good Will Hunting,1997,People,
Good Will Hunting,1997,Between the Bars,
Good Will Hunting,1997,Handle on My Heart,
Good Will Hunting,1997,Fisherman's Blues,The Waterboys
Good Will Hunting,1997,How Can You Mend a Broken Heart,Al Green
Good Will Hunting,1997,Tommy Bhetty's Waltz,Altan
Good Will Hunting,1997,Angeles,
Good Will Hunting,1997,Heart & Soul,Wolfstone
Good Will Hunting,1997,Danny Boy,
Good Will Hunting,1997,Miss Misery,
Good Will Hunting,1997,Afternoon Delight,Starland Vocal Band
Toy Story 3,2010,We Belong Together,
Toy Story 3,2010,You've Got A Friend In Me,
Toy Story 3,2010,You've Got A Friend In Me (para Buzz Español),Gipsy Kings Featuring Nicolas Reyes and Tonino Baliardo
Toy Story 3,2010,Dream Weaver,
Toy Story 3,2010,Le Freak,Chic
Requiem for a Dream,2000,Bialy & Lox Conga,"The Moonrats Marcel Reginatto - Saxophone, Vocals Brian Emrich - Bass Guitar, Vocals Oscar Oñoz - Trumpet, Vocals Theodore Birkey - Keyboards, Vocals Tico Torres (as Hector Torres) - Percussion, Vocals Darren Aronofsky - Vocals"
Requiem for a Dream,2000,Bugs' Got a Devilish Grin Conga,"The Moonrats Marcel Reginatto - Saxophone, Vocals Brian Emrich - Bass Guitar, Vocals Oscar Oñoz - Trumpet, Vocals Theodore Birkey - Keyboards, Vocals Tico Torres (as Hector Torres) - Percussion, Vocals Darren Aronofsky - Vocals"
Requiem for a Dream,2000,Summer Overture,
3 Idiots,2009,Aal Izz Well,"Sonu Nigam, Swanand Kirkire and Shaan"
3 Idiots,2009,Zoobi Doobi,Sonu Nigam and Shreya Ghoshal
3 Idiots,2009,Behti Hawa Sa Tha Woh,Shantanu Moitra and Shaan
3 Idiots,2009,Give Me Some Sunshine,Suraj Jagan and Sharman Joshi
3 Idiots,2009,Jaane Nahin Denge Tujhe,Sonu Nigam
3 Idiots,2009,Zoobi Doobi - Remix,Sonu Nigam and Shreya Ghoshal
3 Idiots,2009,Aal Izz Well - Remix,"Sonu Nigam, Swanand Kirkire and Shaan"
Your Name.,2016,Yumetourou (Dream Lanturn),
Your Name.,2016,Zen Zen Zense,
Your Name.,2016,Sparkle,
Your Name.,2016,Nande mo naiya (It's Nothing),
Singin' in the Rain,1952,Fit as a Fiddle,
Singin' in the Rain,1952,Temptation,
Singin' in the Rain,1952,All I Do Is Dream of You,
Singin' in the Rain,1952,Make 'em Laugh,
Singin' in the Rain,1952,I've Got a Feelin' You're Foolin',
Singin' in the Rain,1952,The Wedding of the Painted Doll,
Singin' in the Rain,1952,Should I?,
Singin' in the Rain,1952,Beautiful Girl,
Singin' in the Rain,1952,You Were Meant For Me,
Singin' in the Rain,1952,Moses Supposes,
Singin' in the Rain,1952,Good Morning,
Singin' in the Rain,1952,Singin' in the Rain,
Singin' in the Rain,1952,Would You,
Singin' in the Rain,1952,Broadway Rhythm Ballet,
Singin' in the Rain,1952,Singin in the Rain (in A-Flat),
Singin' in the Rain,1952,You Are My Lucky Star,
Singin' in the Rain,1952,Main Title,MGM Studio Orchestra
Singin' in the Rain,1952,Dignity,MGM Studio Orchestra
Singin' in the Rain,1952,Stunt Montage,MGM Studio Orchestra
Singin' in the Rain,1952,First Silent Picture,MGM Studio Orchestra
Singin' in the Rain,1952,Gene Dreams of Kathy,MGM Studio Orchestra
Singin' in the Rain,1952,Good Night Kathy,MGM Studio Orchestra
Singin' in the Rain,1952,From Dueling to Dancing,MGM Studio Orchestra
Singin' in the Rain,1952,Would You? (End Title),MGM Studio Orchestra
Singin' in the Rain,1952,March: News of the Day,
Star Wars: Episode VI - Return of the Jedi,1983,Lapti Nek,
Star Wars: Episode VI - Return of the Jedi,1983,Ewok Celebration,
Star Wars: Episode VI - Return of the Jedi,1983,Jedi Rocks,
Reservoir Dogs,1992,Little Green Bag,George Baker Selection
Reservoir Dogs,1992,Stuck in the Middle with You,Stealers Wheel
Reservoir Dogs,1992,I Gotcha,
Reservoir Dogs,1992,Fool for Love,
Reservoir Dogs,1992,Hooked on a Feeling,Björn Skifs
Reservoir Dogs,1992,Coconut,
Reservoir Dogs,1992,Harvest Moon,Bedlam
Reservoir Dogs,1992,Magic Carpet Ride,Bedlam
Reservoir Dogs,1992,Wes Turned Country,
Reservoir Dogs,1992,Country's Cool,
Reservoir Dogs,1992,It's Country,The Kronborg Strings
Eternal Sunshine of the Spotless Mind,2004,Everybody's Gotta Learn Sometime,Beck
Eternal Sunshine of the Spotless Mind,2004,Something,The Willowz
Eternal Sunshine of the Spotless Mind,2004,Keep On Looking,The Willowz
Eternal Sunshine of the Spotless Mind,2004,Tere Sang Pyar Main,Lata Mangeshkar
Eternal Sunshine of the Spotless Mind,2004,Mere Man Tera Pyasa,Mohammad Rafi (as Mohd. Rafi)
Eternal Sunshine of the Spotless Mind,2004,"Concerto No. 8 in D Major, Opus 99",
Eternal Sunshine of the Spotless Mind,2004,Wada Na Tod,Lata Mangeshkar
Eternal Sunshine of the Spotless Mind,2004,Some Kinda Shuffle,
Eternal Sunshine of the Spotless Mind,2004,Nola's Bounce,
Eternal Sunshine of the Spotless Mind,2004,Light And Day/Reach For The Sun,The Polyphonic Spree
Eternal Sunshine of the Spotless Mind,2004,"Oh My Darling, Clementine",
Eternal Sunshine of the Spotless Mind,2004,Row Row Row Your Boat,
Eternal Sunshine of the Spotless Mind,2004,Mr. Blue Sky,Electric Light Orchestra
2001: A Space Odyssey,1968,Gayane Ballet Suite -- Gayane's Adagio,Leningrad Philharmonic Orchestra (as the Leningrad Philharmonic Orchestra) Conductor Gennadi Rozhdestvensky Courtesy Deutsche Grammophon
2001: A Space Odyssey,1968,Atmospheres,Southwest German Radio Orchestra (as the Southwest German Radio Orchestra) Conductor Ernest Bour
2001: A Space Odyssey,1968,Lux Aeterna,Stuttgart Schola Cantorum (as the Stuttgart Schola Cantorum) Conductor Clytus Gottwald
2001: A Space Odyssey,1968,Requiem,Bavarian Radio Orchestra (as the Bavarian Radio Orchestra) Conductor Francis Travis
2001: A Space Odyssey,1968,The Blue Danube,Berliner Philharmoniker (as the Berlin Philharmonic Orchestra) Conductor Herbert von Karajan Courtesy Deutsche Grammophon
2001: A Space Odyssey,1968,Thus Spoke Zarathustra,Wiener Philharmoniker (uncredited)
2001: A Space Odyssey,1968,Adventures,The International Chamber Ensemble Darmstadt Conductor Bruno Maderna
2001: A Space Odyssey,1968,Happy Birthday to You,Alan Gifford and Ann Gillis
2001: A Space Odyssey,1968,Off Beats Mood,Sidney Torch BBC segment opening theme.
2001: A Space Odyssey,1968,Daisy Bell (A Bicycle Built for Two),
High and Low,1963,The Magic Begins,Yumi Shirakawa
High and Low,1963,It's Now or Never,
High and Low,1963,Die Forelle,
High and Low,1963,"Forellenquintett (Trout Quintet), 4th movement",
Citizen Kane,1941,It Can't Be Love,"Raymond Tate, Buddy Collette, Buddy Banks, CeePee Johnson, and Alton Redd"
Citizen Kane,1941,Una voce poco fa,
Citizen Kane,1941,A Poco No,
Citizen Kane,1941,Funeral March,
Citizen Kane,1941,A Hot Time in the Old Town,
Citizen Kane,1941,The Battle Cry of Freedom,
Citizen Kane,1941,The Girl I Left Behind Me,
Citizen Kane,1941,In A Mizz,
Citizen Kane,1941,"Song Without Words, Op. 62 No.3 (Funeral March)",
Citizen Kane,1941,Aria from Salammbo,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Theme,
Citizen Kane,1941,Charlie Kane,
Citizen Kane,1941,Pilgrim's Chorus,
Lawrence of Arabia,1962,The Man Who Broke the Bank at Monte Carlo,
Lawrence of Arabia,1962,Overture,London Philharmonic Orchestra
Lawrence of Arabia,1962,Main Title,London Philharmonic Orchestra
Lawrence of Arabia,1962,Miracle,London Philharmonic Orchestra
Lawrence of Arabia,1962,Nefud Mirage,London Philharmonic Orchestra
Lawrence of Arabia,1962,Rescue of Gasim,London Philharmonic Orchestra
Lawrence of Arabia,1962,Brining Gasim Into Camp,London Philharmonic Orchestra
Lawrence of Arabia,1962,Arrival At Auda's Camo,London Philharmonic Orchestra
Lawrence of Arabia,1962,The Voice Of The Guns,London Philharmonic Orchestra
Lawrence of Arabia,1962,In Whose Name Do You Ride?,London Philharmonic Orchestra
Lawrence of Arabia,1962,Continuation Of The Mircal,London Philharmonic Orchestra
Lawrence of Arabia,1962,Sun's Anvil,London Philharmonic Orchestra
Lawrence of Arabia,1962,Lawrence And Bodyguard,London Philharmonic Orchestra
Lawrence of Arabia,1962,That Is The Desert,London Philharmonic Orchestra
Lawrence of Arabia,1962,End Title,London Philharmonic Orchestra
M,1931,Le Halle du Roi de la Montagne,
M,1931,La Marseillaise,Peter Lorre
North by Northwest,1959,It's a Most Unusual Day,
North by Northwest,1959,I've Grown Accustomed to Her Face,
North by Northwest,1959,Singin' in the Rain,
The Hunt,2012,Moondance,
The Hunt,2012,Julen har bragt velsignet bud,Kathy Bødker
The Hunt,2012,Jingle Bells,
The Hunt,2012,Mit Hjerte altid vanker,
The Hunt,2012,In the Bleak Midwinter,
The Hunt,2012,I Was Not To You What You Were To Me,Andi Almqvist
The Hunt,2012,Es ist ein Ros' entsprungen,
The Hunt,2012,A Child Is Born in Bethlehem,
Vertigo,1958,"Symphony No. 34 in C K. 338, 2nd Movement, Andante di Molto (piu tosto allegretto)",
Vertigo,1958,Sardis #4,
Amélie,2001,Les Jours Tristes (instrumental),
Amélie,2001,Naomi,
Amélie,2001,Whispering,Radio Rhythm Rascals & Val Rosing
Amélie,2001,Adagio pour cordes,Capella Istropolitana
Amélie,2001,With a Song in My Heart,Jack Hylton and His Orchestra
Amélie,2001,Guilty,Al Bowlly
Amélie,2001,Sweet and Lovely,
Amélie,2001,Dancing in the Dark,Carroll Gibbons
Amélie,2001,Ciribiribin,
Amélie,2001,Fire,
Amélie,2001,Brouillard,
Amélie,2001,Got a Date with an Angel,
Amélie,2001,Father's Little Dividend,
Amélie,2001,Rose du Sud,
Amélie,2001,Si tu n'Étais pas là,Fréhel
Amélie,2001,Générique journal télévisé,
Amélie,2001,The Child,Alex Gopher
Amélie,2001,Up Above My Head,Sister Rosetta Tharpe
A Clockwork Orange,1971,"Symphony No.9 in D Minor, Opus 125 Choral: II. Scherzo. Molto vivace",
A Clockwork Orange,1971,The Thieving Magpie (Overture),
A Clockwork Orange,1971,Molly Malone,Paul Farrell
A Clockwork Orange,1971,William Tell (Overture),
A Clockwork Orange,1971,I Want to Marry a Lighthouse Keeper,
A Clockwork Orange,1971,Singin' In the Rain,Gene Kelly
A Clockwork Orange,1971,Overture to the Sun,
A Clockwork Orange,1971,March from 'Funeral Music for Queen Mary',
A Clockwork Orange,1971,Pomp and Circumstance Marches No.1 and 4,
A Clockwork Orange,1971,Orange Minuet,
A Clockwork Orange,1971,The Sea And Sinbad's Ship,
A Clockwork Orange,1971,Biblical Daydreams,
A Clockwork Orange,1971,Timesteps,
A Clockwork Orange,1971,Country Lane,
Full Metal Jacket,1987,Hello Vietnam,Johnny Wright
Full Metal Jacket,1987,These Boots Are Made For Walkin',Nancy Sinatra
Full Metal Jacket,1987,Wooly Bully,Sam the Sham and The Pharaohs
Full Metal Jacket,1987,The Marines Hymn,The Goldman Band
Full Metal Jacket,1987,Chapel Of Love,The Dixie Cups
Full Metal Jacket,1987,Surfin' Bird,The Trashmen
Full Metal Jacket,1987,"Paint It, Black",The Rolling Stones
Full Metal Jacket,1987,Mickey Mouse Club March,
Full Metal Jacket,1987,Happy Birthday,
Scarface,1983,Scarface (Push It to the Limit),Paul Engemann
Scarface,1983,Rush Rush,Debbie Harry
Scarface,1983,Turn Out the Night,Amy Holland
Scarface,1983,Vamos a Bailar,Maria Conchita Alonso (as Maria Conchita)
Scarface,1983,Tony's Theme,Giorgio Moroder
Scarface,1983,She's on Fire,Amy Holland
Scarface,1983,Shake It Up,Elizabeth Daily
Scarface,1983,Dance Dance Dance,Beth Anderson (as Beth Andersen)
Scarface,1983,I'm Hot Tonight,Elizabeth Daily
Scarface,1983,Gina's and Elvira's Theme,Helen St. John
Scarface,1983,Strangers in the Night,Frank Sinatra
Come and See,1985,Die Walküre,
Come and See,1985,Lacrimosa,
Come and See,1985,The Sacred War,
Come and See,1985,Korobeiniki,
Come and See,1985,Im Wald im grünen Walde,
Come and See,1985,Blue Danube,
Come and See,1985,Tannhäuser,
Come and See,1985,Moya Marusitschka,
Double Indemnity,1944,Tangerine,
Double Indemnity,1944,My Ideal,
Double Indemnity,1944,"Symphony No 8 in B minor, Unfinished",
The Apartment,1960,Adeste Fideles (O Come All Ye Faithful),
The Apartment,1960,"Capriccio Italien, Op. 45",
The Apartment,1960,Jealous Lover,
The Apartment,1960,Auld Lang Syne,
The Apartment,1960,Magdalena,
The Apartment,1960,Lonely Room,
The Apartment,1960,There is a Tavern in the Town,
The Apartment,1960,Little Brown Jug,
The Apartment,1960,Jingle Bells,
Taxi Driver,1976,Late For The Sky,
Taxi Driver,1976,Hold Me Close,
Taxi Driver,1976,"The Pilgrim, Chapter 33",
Taxi Driver,1976,Ling Ting Tong,Otis Williams and the Charms
Up,2009,Habanera,
Up,2009,The Spirit of Adventure,Craig Copeland
The Sting,1973,Easy Winners,
The Sting,1973,The Entertainer,
The Sting,1973,Gladiolus Rag,
The Sting,1973,Pineapple Rag,
The Sting,1973,Rag Time Dance,
The Sting,1973,Solace,
The Sting,1973,Listen to the Mockingbird,
The Sting,1973,The Washington Post,
The Sting,1973,The Cascades,
L.A. Confidential,1997,Ac-cent-tchu-ate the Positive,Johnny Mercer
L.A. Confidential,1997,Oh! Look at Me Now,Lee Wiley
L.A. Confidential,1997,Silent Night,
L.A. Confidential,1997,Silver Bells,
L.A. Confidential,1997,The Christmas Blues,Dean Martin
L.A. Confidential,1997,Mele Kalikimaka,Bing Crosby and The Andrews Sisters
L.A. Confidential,1997,Look for the Silver Lining,Chet Baker
L.A. Confidential,1997,Jingle Bells,
L.A. Confidential,1997,Hit the Road to Dreamland,Betty Hutton
L.A. Confidential,1997,Wheel of Fortune,Kay Starr
L.A. Confidential,1997,Makin' Whoopee,
L.A. Confidential,1997,The Lady is a Tramp,Gerry Mulligan Quartet
L.A. Confidential,1997,Powder Your Face with Sunshine,Dean Martin
L.A. Confidential,1997,How Important Can It Be,Joni James on The Perry Como Show (1948)
L.A. Confidential,1997,Looking at You,Lee Wiley
L.A. Confidential,1997,At Last,Chet Baker and The Lighthouse All-Stars
L.A. Confidential,1997,But Not for Me,Jackie Gleason
Hamilton,2020,Alexander Hamilton,"Leslie Odom Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo and Chris Jackson"
Hamilton,2020,"Aaron Burr, Sir","Lin-Manuel Miranda, Leslie Odom Jr., Anthony Ramos, Daveed Diggs and Okieriete Onaodowan"
Hamilton,2020,My Shot,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr."
Hamilton,2020,The Story of Tonight,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs and Okieriete Onaodowan"
Hamilton,2020,The Schuyler Sisters,"Renée Elise Goldsberry, Jasmine Cephas Jones, Phillipa Soo and Leslie Odom Jr."
Hamilton,2020,Farmer Refuted,"Samuel Seabury, Lin-Manuel Miranda, Okieriete Onaodowan, Leslie Odom Jr."
Hamilton,2020,You'll Be Back,King Jonathan Groff
Hamilton,2020,Right Hand Man,"Chris Jackson, Lin-Manuel Miranda, Leslie Odom Jr., Okieriete Onaodowan, Anthony Ramos, Daveed Diggs, Renée Elise Goldsberry, Phillipa Soo and Jasmine Cephas Jones"
Hamilton,2020,A Winter's Ball,Leslie Odom Jr. and Lin-Manuel Miranda
Hamilton,2020,Helpless,"Phillipa Soo, Renée Elise Goldsberry, Lin-Manuel Miranda, Leslie Odom Jr., Anthony Ramos, and Women"
Hamilton,2020,Satisfied,"Renée Elise Goldsberry, Phillipa Soo, Lin-Manuel Miranda and Anthony Ramos"
Hamilton,2020,The Story of Tonight (Reprise),"Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, and Leslie Odom Jr."
Hamilton,2020,Wait for It,Leslie Odom Jr.
Hamilton,2020,Stay Alive,"Lin-Manuel Miranda, Chris Jackson, Lee, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Phillipa Soo and Renée Elise Goldsberry"
Hamilton,2020,Ten Duel Commandments,"Anthony Ramos, Lin-Manuel Miranda and Leslie Odom Jr."
Hamilton,2020,Meet Me Inside,"Chris Jackson, Lin-Manuel Miranda, Leslie Odom Jr. and Anthony Ramos"
Hamilton,2020,That Would Be Enough,Phillipa Soo and Lin-Manuel Miranda
Hamilton,2020,Guns and Ships,"Daveed Diggs, Leslie Odom Jr. and Chris Jackson"
Hamilton,2020,History Has Its Eyes On You,"Chris Jackson, Lin-Manuel Miranda, Anthony Ramos and Okieriete Onaodowan"
Hamilton,2020,Yorktown (The World Turned Upside Down),"Lin-Manuel Miranda, Daveed Diggs, Anthony Ramos, Okieriete Onaodowan and Chris Jackson"
Hamilton,2020,What Comes Next?,Jonathan Groff
Hamilton,2020,Dear Theodosia,Leslie Odom Jr. and Lin-Manuel Miranda
Hamilton,2020,Tomorrow There'll Be More of Us,"Anthony Ramos, Phillipa Soo and Lin-Manuel Miranda"
Hamilton,2020,Non-Stop,"Lin-Manuel Miranda, Leslie Odom Jr., Phillipa Soo, Renée Elise Goldsberry, Chris Jackson, Okieriete Onaodowan, Anthony Ramos and Daveed Diggs"
Hamilton,2020,What'd I Miss,"Daveed Diggs, Leslie Odom Jr., Okieriete Onaodowan, Chris Jackson and Lin-Manuel Miranda"
Hamilton,2020,Cabinet Battle #1,"Daveed Diggs, Lin-Manuel Miranda, Chris Jackson, and Okieriete Onaodowan"
Hamilton,2020,Take a Break,"Phillipa Soo, Anthony Ramos, Lin-Manuel Miranda, and Renée Elise Goldsberry"
Hamilton,2020,Say No to This,"Lin-Manuel Miranda, Jasmine Cephas Jones, James Reynolds and Leslie Odom Jr."
Hamilton,2020,The Room Where It Happens,"Leslie Odom Jr., Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan and Chris Jackson"
Hamilton,2020,Schuyler Defeated,"Anthony Ramos, Phillipa Soo, Lin-Manuel Miranda, and Leslie Odom Jr."
Hamilton,2020,Cabinet Battle #2,"Chris Jackson, Daveed Diggs, Lin-Manuel Miranda, and Okieriete Onaodowan"
Hamilton,2020,Washington On Your Side,"Leslie Odom Jr., Daveed Diggs and Okieriete Onaodowan"
Hamilton,2020,One Last Time,Chris Jackson and Lin-Manuel Miranda
Hamilton,2020,I Know Him,Jonathan Groff
Hamilton,2020,The Adams Administration,"Leslie Odom Jr., Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan"
Hamilton,2020,We Know,"Lin-Manuel Miranda, Leslie Odom Jr., Daveed Diggs, and Okieriete Onaodowan"
Hamilton,2020,Hurricane,"Lin-Manuel Miranda, Leslie Odom Jr., Chris Jackson, Phillipa Soo, Renée Elise Goldsberry and Jasmine Cephas Jones"
Hamilton,2020,The Reynolds Pamphlet,"Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr., Renée Elise Goldsberry, James Reynolds"
Hamilton,2020,Burn,Phillipa Soo
Hamilton,2020,Blow Us All Away,"Anthony Ramos, Lin-Manuel Miranda, Eacker, Dolly, Martha"
Hamilton,2020,Stay Alive (Reprise),"Anthony Ramos, Lin-Manuel Miranda, Phillipa Soo"
Hamilton,2020,It's Quiet Uptown,"Renée Elise Goldsberry, Lin-Manuel Miranda and Phillipa Soo"
Hamilton,2020,The Election of 1800,"Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr., Lin-Manuel Miranda"
Hamilton,2020,Your Obedient Servant,"Leslie Odom Jr., Lin-Manuel Miranda"
Hamilton,2020,Best of Wives and Best of Women,Phillipa Soo and Lin-Manuel Miranda
Hamilton,2020,The World Was Wide Enough,"Leslie Odom Jr., Lin-Manuel Miranda, Anthony Ramos and Renée Elise Goldsberry"
Hamilton,2020,"Who Lives, Who Dies, Who Tells Your Story","Phillipa Soo, Chris Jackson, Leslie Odom Jr., Daveed Diggs, Okieriete Onaodowan, Renée Elise Goldsberry, Anthony Ramos, Daveed Diggs and Okieriete Onaodowan"
Hamilton,2020,My Shot (Rise Up Remix),"The Roots featuring Busta Rhymes, Joell Ortiz & Nate Ruess"
Hamilton,2020,Dear Theodosia,
Hamilton,2020,Exit Music,
Heat,1995,Always Forever Now,Passengers
Heat,1995,Late Evening In Jersey,
Heat,1995,Last Nite,Terje Rypdal & The Chasers
Heat,1995,Force Marker,
Heat,1995,Mystery Man,
Heat,1995,New Dawn Fades,Moby
Heat,1995,God Moving Over The Face Of The Waters,Moby
Heat,1995,The Monkey King,
Heat,1995,The Last Lagoon,
Heat,1995,Gringatcho Demento,William Orbit
Heat,1995,The Mighty Limpopo,
Heat,1995,Ultramarine,
Heat,1995,Arabic Agony,James
Heat,1995,La Bas,
Heat,1995,Celon,
Heat,1995,Gloradin,
Heat,1995,In November,
Heat,1995,Black Cloud,Solitaire
Heat,1995,Armenia,Einstürzende Neubauten
Heat,1995,The Thrill Is Gone,B.B. King
Heat,1995,Will Gaines,
Heat,1995,By The Time I Get To Phoenix,
Heat,1995,Top O' The Morning To Ya,House of Pain
Heat,1995,Concerto For Violoncello And Orchestra,Jean-Guihen Queyras and Ensemble Intercontemporain (as The Ensemble InterContemporain)
Heat,1995,Get Up To This,New World Beat
Heat,1995,Steel Cello Lament,
Ikiru,1952,J'ai Deux Amours,Josephine Baker
Ikiru,1952,Come On-A My House,
Ikiru,1952,Gondora no uta,
Ikiru,1952,Bibbidi-Bobbidi-Boo,Dinah Shore Heard in the background immediately after Watanabe and Kimura leave the striptease show
Ikiru,1952,Happy Birthday,
Ikiru,1952,Too Young,Toni Arden
Ikiru,1952,Parade of the Tin Soldiers,
Snatch,2000,Super Moves,Overseer
Snatch,2000,Diamond,Klint
Snatch,2000,Hernando's Hideaway,The Johnston Brothers
Snatch,2000,Viva Las Vegas,
Snatch,2000,Golden Brown,The Stranglers
Snatch,2000,Ghost Town,The Specials
Snatch,2000,Dreadlock Holiday,10CC Courtesy Mercury Records Ltd (London)
Snatch,2000,Cross The Tracks (We Better Go Back),Maceo Parker (as Maceo) and the Macks
Snatch,2000,Disco Science,Mirwais Ahmadzaï
Snatch,2000,Lucky Star,
Snatch,2000,"Hot Pants (I'm Coming, Coming, I'm Coming)",Bobby Byrd
Snatch,2000,Sensual Woman,The Herbaliser
Snatch,2000,Angel,Massive Attack
Snatch,2000,Are You There?,Klint
Snatch,2000,Fuckin' in the Bushes,Oasis
Snatch,2000,Don't You Just Know It,"Huey P. Smith (as Huey ""Piano"" Smith)"
Snatch,2000,Hava Nagila,
Snatch,2000,Kosha Nostra Theme,
Snatch,2000,Taverna,
Die Hard,1988,Singin' in the Rain,
Die Hard,1988,Winter Wonderland,
Die Hard,1988,Christmas in Hollis,Run-D.M.C.
Die Hard,1988,Skeletons,
Die Hard,1988,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe
Die Hard,1988,Ode to Joy,
Die Hard,1988,Jingle Bells,
Die Hard,1988,"Brandenburg Concerto No. 3 In G Major, (Allegro Moderato)",
Die Hard,1988,We've Got Each Other,
Die Hard,1988,Resolution & Hyperspace,
Die Hard,1988,Let It Snow! Let It Snow! Let It Snow!,
Indiana Jones and the Last Crusade,1989,You're a Sweet Little Headache,Benny Goodman
Indiana Jones and the Last Crusade,1989,Just a Gigolo,
Indiana Jones and the Last Crusade,1989,Cavalry Charge - Bugle Call,
Indiana Jones and the Last Crusade,1989,Königgrätzer Marsch,
Incendies,2010,You and Whose Army?,Radiohead
Incendies,2010,Like Spinning Plates,Radiohead
Incendies,2010,Nami Nami,
1917,2019,I Am a Poor Wayfaring Stranger,Jos Slovick
Like Stars on Earth,2007,Mera Jahan,"Adnan Sami, Auriel Cordo, Ananya Wadkar, Gleehive (Kids Choir), Suraj and Shailendra Barve"
Like Stars on Earth,2007,Taare Zameen Par,"Shankar Mahadevan, Dominique Cerejo & Vivienne Pocha"
Like Stars on Earth,2007,Kholo Kholo,Raman Mahadevan
Like Stars on Earth,2007,Bum Bum Bhole,Shaan and Aamir Khan
Like Stars on Earth,2007,Jame Raho,Vishal Dadlani
Like Stars on Earth,2007,Maa,Shankar Mahadevan
Like Stars on Earth,2007,Bheja Kam,"Shankar Mahadevan, Bugs Bhargava Krishna, Shankar Sachdev, Rajgopal Iyer, Ravi Khanvilkar, Loy Mendonsa, Amole Gupte, Kiran Rao, Aamir Khan and Ram Madhvani"
Like Stars on Earth,2007,Ishaan's Theme,
Batman Begins,2005,Folletto!...Folletto!,"Norman Treigle, The Ambrosian Singers and London Symphony Orchestra (as London Symphony Orchestra)"
Batman Begins,2005,Happy Birthday To You,Cavendish String Quartet
Batman Begins,2005,"Divertimento in D Major, K.136 (2nd movement)",Cavendish String Quartet
For a Few Dollars More,1965,For A Few Dollars More,
For a Few Dollars More,1965,For A Few Dollars More [Sequence 3,
For a Few Dollars More,1965,Aces High,
For a Few Dollars More,1965,Prison Break,
For a Few Dollars More,1965,Chapel Shootout,
For a Few Dollars More,1965,The Watchers Are Being Watched,
For a Few Dollars More,1965,The Wild One,
For a Few Dollars More,1965,Indio's Flashback,
For a Few Dollars More,1965,To El Paso,
For a Few Dollars More,1965,The Showdown,
For a Few Dollars More,1965,The Vice Of Killing,
For a Few Dollars More,1965,Mortimer & The Chest,
